id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
50569,62,SavedShot,0.794000015258789,0.5020000076293946,0.0519051998853683,Mohamed Salah,a,1250,OpenPlay,2014,LeftFoot,4796,Empoli,Fiorentina,2,3,2015-05-10 17:00:00,Josip Ilicic,Pass
50570,67,BlockedShot,0.905,0.4629999923706054,0.4385370016098022,Mohamed Salah,a,1250,OpenPlay,2014,RightFoot,4796,Empoli,Fiorentina,2,3,2015-05-10 17:00:00,Matías Fernández,Pass
50581,91,BlockedShot,0.8209999847412109,0.6769999694824219,0.0345087014138698,Mohamed Salah,a,1250,OpenPlay,2014,LeftFoot,4796,Empoli,Fiorentina,2,3,2015-05-10 17:00:00,Matías Fernández,Pass
50466,15,MissedShots,0.82,0.504000015258789,0.0792668014764785,Mohamed Salah,h,1250,OpenPlay,2014,LeftFoot,4807,Fiorentina,Parma,3,0,2015-05-18 18:00:00,Alberto Gilardino,LayOff
50482,51,BlockedShot,0.87,0.46,0.0494555011391639,Mohamed Salah,h,1250,FromCorner,2014,LeftFoot,4807,Fiorentina,Parma,3,0,2015-05-18 18:00:00,Matías Fernández,Cross
50484,55,Goal,0.855,0.544000015258789,0.1184990033507347,Mohamed Salah,h,1250,OpenPlay,2014,RightFoot,4807,Fiorentina,Parma,3,0,2015-05-18 18:00:00,Manuel Pasqual,TakeOn
93705,87,MissedShots,0.79,0.4070000076293945,0.0364835001528263,Mohamed Salah,a,1250,OpenPlay,2015,LeftFoot,572,Frosinone,Roma,0,2,2015-09-12 20:00:00,Seydou Keita,TakeOn
95214,26,SavedShot,0.855,0.355,0.3209199905395508,Mohamed Salah,h,1250,OpenPlay,2015,LeftFoot,585,Roma,Sassuolo,2,2,2015-09-20 17:00:00,Miralem Pjanic,Throughball
95221,41,SavedShot,0.9130000305175782,0.3279999923706054,0.1083260029554367,Mohamed Salah,h,1250,OpenPlay,2015,RightFoot,585,Roma,Sassuolo,2,2,2015-09-20 17:00:00,Juan Iturbe,BallRecovery
95225,43,MissedShots,0.901999969482422,0.3570000076293945,0.0653084963560104,Mohamed Salah,h,1250,OpenPlay,2015,RightFoot,585,Roma,Sassuolo,2,2,2015-09-20 17:00:00,Francesco Totti,Chipped
95229,48,Goal,0.7669999694824219,0.4329999923706055,0.0191222000867128,Mohamed Salah,h,1250,FromCorner,2015,LeftFoot,585,Roma,Sassuolo,2,2,2015-09-20 17:00:00,,None
95234,77,BlockedShot,0.8009999847412109,0.71,0.0430005006492137,Mohamed Salah,h,1250,FromCorner,2015,LeftFoot,585,Roma,Sassuolo,2,2,2015-09-20 17:00:00,,TakeOn
95236,82,SavedShot,0.8019999694824219,0.3170000076293945,0.0231299009174108,Mohamed Salah,h,1250,OpenPlay,2015,LeftFoot,585,Roma,Sassuolo,2,2,2015-09-20 17:00:00,Alessandro Florenzi,Pass
94683,52,MissedShots,0.8519999694824218,0.275,0.0502546988427639,Mohamed Salah,a,1250,OpenPlay,2015,LeftFoot,594,Sampdoria,Roma,2,1,2015-09-23 22:45:00,Miralem Pjanic,LayOff
94690,68,Goal,0.8969999694824219,0.5459999847412109,0.4285340011119842,Mohamed Salah,a,1250,OpenPlay,2015,LeftFoot,594,Sampdoria,Roma,2,1,2015-09-23 22:45:00,Miralem Pjanic,Pass
94692,69,BlockedShot,0.8619999694824219,0.3720000076293945,0.0764278024435043,Mohamed Salah,a,1250,OpenPlay,2015,LeftFoot,594,Sampdoria,Roma,2,1,2015-09-23 22:45:00,Miralem Pjanic,TakeOn
94695,74,SavedShot,0.8490000152587891,0.2910000038146972,0.0373689010739326,Mohamed Salah,a,1250,OpenPlay,2015,LeftFoot,594,Sampdoria,Roma,2,1,2015-09-23 22:45:00,Miralem Pjanic,Pass
95991,50,Goal,0.9740000152587892,0.4679999923706054,0.87956702709198,Mohamed Salah,h,1250,OpenPlay,2015,RightFoot,601,Roma,Carpi,5,1,2015-09-26 20:00:00,,Rebound
95993,58,MissedShots,0.889000015258789,0.2660000038146972,0.0514029003679752,Mohamed Salah,h,1250,OpenPlay,2015,LeftFoot,601,Roma,Carpi,5,1,2015-09-26 20:00:00,Maicon,Pass
96000,72,MissedShots,0.936999969482422,0.69,0.1537719964981079,Mohamed Salah,h,1250,OpenPlay,2015,LeftFoot,601,Roma,Carpi,5,1,2015-09-26 20:00:00,Miralem Pjanic,TakeOn
96932,18,MissedShots,0.8569999694824219,0.3209999847412109,0.0456807985901832,Mohamed Salah,h,1250,OpenPlay,2015,LeftFoot,621,Roma,Empoli,3,1,2015-10-17 20:00:00,Iago Falque,Chipped
96943,68,Goal,0.9080000305175782,0.5420000076293945,0.5224699974060059,Mohamed Salah,h,1250,OpenPlay,2015,LeftFoot,621,Roma,Empoli,3,1,2015-10-17 20:00:00,Gervinho,Pass
97318,5,Goal,0.8390000152587891,0.31,0.0293242000043392,Mohamed Salah,a,1250,OpenPlay,2015,LeftFoot,639,Fiorentina,Roma,1,2,2015-10-25 21:00:00,Miralem Pjanic,Pass
98341,7,MissedShots,0.8859999847412109,0.3290000152587891,0.0152080003172159,Mohamed Salah,a,1250,OpenPlay,2015,Head,652,Inter,Roma,1,0,2015-10-31 23:45:00,,None
98349,27,MissedShots,0.926999969482422,0.29,0.046467799693346,Mohamed Salah,a,1250,OpenPlay,2015,RightFoot,652,Inter,Roma,1,0,2015-10-31 23:45:00,Miralem Pjanic,Pass
98361,60,SavedShot,0.965,0.3990000152587891,0.0302338991314172,Mohamed Salah,a,1250,OpenPlay,2015,Head,652,Inter,Roma,1,0,2015-10-31 23:45:00,,Rebound
98360,60,SavedShot,0.9180000305175782,0.374000015258789,0.3335320055484772,Mohamed Salah,a,1250,OpenPlay,2015,RightFoot,652,Inter,Roma,1,0,2015-10-31 23:45:00,,Rebound
98358,60,SavedShot,0.9009999847412108,0.3959999847412109,0.3562169969081878,Mohamed Salah,a,1250,OpenPlay,2015,LeftFoot,652,Inter,Roma,1,0,2015-10-31 23:45:00,Miralem Pjanic,TakeOn
98875,24,MissedShots,0.775,0.345,0.0152545003220438,Mohamed Salah,h,1250,SetPiece,2015,LeftFoot,666,Roma,Lazio,2,0,2015-11-08 18:00:00,,Rebound
100903,4,MissedShots,0.9,0.655,0.0632701963186264,Mohamed Salah,a,1250,OpenPlay,2015,LeftFoot,707,Napoli,Roma,0,0,2015-12-13 21:00:00,Iago Falque,HeadPass
101464,45,MissedShots,0.915,0.3320000076293945,0.0748300999402999,Mohamed Salah,h,1250,OpenPlay,2015,LeftFoot,715,Roma,Genoa,2,0,2015-12-20 18:00:00,Alessandro Florenzi,Chipped
101790,18,BlockedShot,0.875999984741211,0.5920000076293945,0.1064070016145706,Mohamed Salah,a,1250,OpenPlay,2015,LeftFoot,722,Chievo,Roma,3,3,2016-01-06 18:00:00,Gervinho,Pass
101798,46,MissedShots,0.855,0.66,0.0421091988682746,Mohamed Salah,a,1250,SetPiece,2015,LeftFoot,722,Chievo,Roma,3,3,2016-01-06 18:00:00,,None
